chunk_id,embedding_text,description_short,description_full,section_title,work_category,rate,unit_norm,qty,source_file,sheet_name,rate_per_unit_label,est_tokens
10b1cc5b7112be1633cc13c1d35f073a,"WORK: civil_id
ITEM: BRICKWORK 4 1/2""
SPEC: Providing and laying brick masonry using first-class, laboratory-tested bricks having a maximum water absorption of ≤ 20% by weight and a minimum compressive strength of ≥ 2000 psi (≈ 14 MPa), laid in cement–sand mortar in the ratio of 1:4 (Bestway Cement with approved quality sieved sand). Work includes soaking of bricks, proper bonding, raking of joints, maintaining plumb/level/line, curing, scaffolding, and completing the work in all respects as per specifications and instructions of the Engi
SECTION: BRICKWORK
UNIT: sft","BRICKWORK 4 1/2""","BRICKWORK — Providing and laying brick masonry using first-class, laboratory-tested bricks having a maximum water absorption of ≤ 20% by weight and a minimum compressive strength of ≥ 2000 psi (≈ 14 MPa), laid in cement–sand mortar in the ratio of 1:4 (Bestway Cement with approved quality sieved sand). Work includes soaking of bricks, proper bonding, raking of joints, maintaining plumb/level/line, curing, scaffolding, and completing the work in all respects as per specifications and instructions of the Engineer/Architect/Client. | BRICKWORK 4 1/2""",BRICKWORK,civil_id,310.0,sft,50,1. CIVIL WORKS.xlsx,1. CIVIL WORKS,Rs. 310 per sft,143.25
892287c94d9dffdd9082e7aa2b21ef70,"WORK: civil_id
ITEM: BRICKWORK 9""
SPEC: Providing and laying brick masonry using first-class, laboratory-tested bricks having a maximum water absorption of ≤ 20% by weight and a minimum compressive strength of ≥ 2000 psi (≈ 14 MPa), laid in cement–sand mortar in the ratio of 1:4 (Bestway Cement with approved quality sieved sand). Work includes soaking of bricks, proper bonding, raking of joints, maintaining plumb/level/line, curing, scaffolding, and completing the work in all respects as per specifications and instructions of the Engi
SECTION: BRICKWORK
UNIT: sft","BRICKWORK 9""","BRICKWORK — Providing and laying brick masonry using first-class, laboratory-tested bricks having a maximum water absorption of ≤ 20% by weight and a minimum compressive strength of ≥ 2000 psi (≈ 14 MPa), laid in cement–sand mortar in the ratio of 1:4 (Bestway Cement with approved quality sieved sand). Work includes soaking of bricks, proper bonding, raking of joints, maintaining plumb/level/line, curing, scaffolding, and completing the work in all respects as per specifications and instructions of the Engineer/Architect/Client. | BRICKWORK 9""",BRICKWORK,civil_id,510.0,sft,R.O.,1. CIVIL WORKS.xlsx,1. CIVIL WORKS,Rs. 510 per sft,142.25
3791f3f8fa16254de74cad397b8e12ea,"WORK: civil_id
ITEM: INTERNAL PLASTER
SPEC: Providing and applying cement–sand plaster of 10mm to 16mm thickness in cement mortar (Bestway Cement with approved quality sieved sand), including surface preparation, cleaning of substrate, wetting of masonry, applying scratch coat where required, maintaining uniform thickness, ensuring straight edges/plumb/level, finishing the surface to a smooth and even texture, curing, scaffolding, and completing the work in all respects as per specifications and directions of the Engineer/Architect/Client
SECTION: PLASTER
UNIT: sft",INTERNAL PLASTER,"PLASTER — Providing and applying cement–sand plaster of 10mm to 16mm thickness in cement mortar (Bestway Cement with approved quality sieved sand), including surface preparation, cleaning of substrate, wetting of masonry, applying scratch coat where required, maintaining uniform thickness, ensuring straight edges/plumb/level, finishing the surface to a smooth and even texture, curing, scaffolding, and completing the work in all respects as per specifications and directions of the Engineer/Architect/Client. | INTERNAL PLASTER",PLASTER,civil_id,90.0,sft,100,1. CIVIL WORKS.xlsx,1. CIVIL WORKS,Rs. 90 per sft,142.75
c5fc6a503fb4d7c47278915f1e7cde18,"WORK: civil_id
ITEM: LINTELS [4.5""X6""X4']
SPEC: Providing, mixing, placing and curing Reinforced Cement Concrete (RCC) in the ratio of 1:2:4 (Bestway Cement : approved clean sand : graded crushed aggregate), using mechanically mixed concrete with a controlled and consistent water–cement ratio of 0.45–0.55, ensuring required workability and compressive strength. All materials (cement, aggregates, sand, and water) shall be of approved quality and tested for compliance with relevant standards.
Providing and fixing steel reinforcement of admissib
SECTION: REINFORCED CEMENT CONCRETE
UNIT: nos","LINTELS [4.5""X6""X4']","REINFORCED CEMENT CONCRETE — Providing, mixing, placing and curing Reinforced Cement Concrete (RCC) in the ratio of 1:2:4 (Bestway Cement : approved clean sand : graded crushed aggregate), using mechanically mixed concrete with a controlled and consistent water–cement ratio of 0.45–0.55, ensuring required workability and compressive strength. All materials (cement, aggregates, sand, and water) shall be of approved quality and tested for compliance with relevant standards.
Providing and fixing steel reinforcement of admissible strength (Grade 60 deformed bars) including cutting, bending, hooking, lapping, binding with 18 SWG GI wire and fixing in correct shape/position as per requirement/directions..
Concrete shall be properly compacted using mechanical vibrators, finished to required levels, provided with cover blocks/chairs/spacers, and cured for the specified duration. Shuttering/formwork shall be true to line, level and shape, leak-proof and strong enough to withstand all loads.
Work shall be completed in all respects as per specifications, structural drawings and instructions of the Engineer/Architect/Client. | LINTELS [4.5""X6""X4']",REINFORCED CEMENT CONCRETE,civil_id,5600.0,nos,RO,1. CIVIL WORKS.xlsx,1. CIVIL WORKS,"Rs. 5,600 per nos",148.5
5107285c49f8ef5f3f497b1a05ff09f9,"WORK: civil_id
ITEM: P.C.C.
SPEC: Providing and laying Plain Cement Concrete (PCC) of specified mix using Bestway Cement, approved quality sieved sand, and graded aggregate, in areas where the existing floor depth requires leveling and preparation to receive the final floor finish. The concrete shall be prepared using a controlled water–cement ratio of 0.45–0.55 to ensure consistent workability and strength.

All locations requiring PCC for floor depth adjustment shall be jointly measured, verified, and properly documented prior
SECTION: PLAIN CEMENT CONCRETE
UNIT: cft",P.C.C.,"PLAIN CEMENT CONCRETE — Providing and laying Plain Cement Concrete (PCC) of specified mix using Bestway Cement, approved quality sieved sand, and graded aggregate, in areas where the existing floor depth requires leveling and preparation to receive the final floor finish. The concrete shall be prepared using a controlled water–cement ratio of 0.45–0.55 to ensure consistent workability and strength.

All locations requiring PCC for floor depth adjustment shall be jointly measured, verified, and properly documented prior to execution. Work includes surface preparation, proper compaction, finishing to required levels, curing, and completing the PCC in all respects as per specifications and instructions of the Engineer/Architect/Client. | P.C.C.",PLAIN CEMENT CONCRETE,civil_id,815.0,cft,RO,1. CIVIL WORKS.xlsx,1. CIVIL WORKS,Rs. 815 per cft,143.75
e4402e68bb273fd7a0e9137b44cf53a4,"WORK: civil_id
ITEM: Existing Railing
SPEC: Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing.
SECTION: REMOVAL / DISMANTLING
UNIT: ls",Existing Railing,"REMOVAL / DISMANTLING — Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing. | Existing Railing",REMOVAL / DISMANTLING,civil_id,25000.0,ls,1,1.Civil.xlsx,1.Civil,"Rs. 25,000 per ls",82.0
5d00b81ec320e2dc6ff7a810f091fa1b,"WORK: civil_id
ITEM: Kitchen Wall Tile Removal
SPEC: Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing.
SECTION: REMOVAL / DISMANTLING
UNIT: ls",Kitchen Wall Tile Removal,"REMOVAL / DISMANTLING — Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing. | Kitchen Wall Tile Removal",REMOVAL / DISMANTLING,civil_id,25000.0,ls,1,1.Civil.xlsx,1.Civil,"Rs. 25,000 per ls",84.25
e9d363153f377f979efd03b7bdde02f9,"WORK: civil_id
ITEM: Sauna Bath (All Accessories to be removed Safely)
SPEC: Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing.
SECTION: REMOVAL / DISMANTLING
UNIT: ls",Sauna Bath (All Accessories to be removed Safely),"REMOVAL / DISMANTLING — Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing. | Sauna Bath (All Accessories to be removed Safely)",REMOVAL / DISMANTLING,civil_id,20000.0,ls,1,1.Civil.xlsx,1.Civil,"Rs. 20,000 per ls",90.25
c09f64f12275b23734d399227f77c4d2,"WORK: civil_id
ITEM: Window Dismantling
SPEC: Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing.
SECTION: REMOVAL / DISMANTLING
UNIT: ls",Window Dismantling,"REMOVAL / DISMANTLING — Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing. | Window Dismantling",REMOVAL / DISMANTLING,civil_id,10000.0,ls,1,1.Civil.xlsx,1.Civil,"Rs. 10,000 per ls",82.5
44c5dd827bfc442a34f70486b6a15555,"WORK: civil_id
ITEM: Pool Passage Tiles
SPEC: Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing.
SECTION: REMOVAL / DISMANTLING
UNIT: ls",Pool Passage Tiles,"REMOVAL / DISMANTLING — Providing dismentling of areas as specified and directed by Client / Site Engineer, Dismentling to be done following protocols including carriage and dumping the wastage to dump station. Taking care of property without damaging any other thing. | Pool Passage Tiles",REMOVAL / DISMANTLING,civil_id,58000.0,ls,1,1.Civil.xlsx,1.Civil,"Rs. 58,000 per ls",82.5
